B_T,Rxy_he2
10.00124,2.45818
10.00414,2.46558
10.00705,2.46684
10.00995,2.46717
10.01285,2.46926
10.01576,2.47044
10.01866,2.47158
10.02156,2.47268
10.02447,2.47375
10.02737,2.47480
10.03028,2.47583
10.03318,2.47684
10.03608,2.47785
10.03899,2.47887
10.04189,2.47993
10.04479,2.48101
10.04770,2.48211
10.05060,2.48320
10.05351,2.48430
10.05641,2.48540
10.05931,2.48647
10.06222,2.48751
10.06512,2.48851
10.06802,2.48947
10.07093,2.49040
10.07383,2.49128
10.07673,2.49213
10.07964,2.49293
10.08254,2.49368
10.08545,2.49439
10.08835,2.49505
10.09125,2.49566
10.09416,2.49621
10.09706,2.49670
10.09996,2.49711
10.10287,2.49744
10.10577,2.49768
10.10867,2.49783
10.11158,2.49789
10.11448,2.49789
10.11739,2.49782
10.12029,2.49772
10.12319,2.49759
10.12610,2.49746
10.12900,2.49732
10.13190,2.49719
10.13481,2.49708
10.13771,2.49698
10.14062,2.49689
10.14352,2.49682
10.14642,2.49676
10.14933,2.49672
10.15223,2.49671
10.15513,2.49672
10.15804,2.49675
10.16094,2.49681
10.16384,2.49689
10.16675,2.49702
10.16965,2.49717
10.17256,2.49735
10.17546,2.49756
10.17836,2.49781
10.18127,2.49808
10.18417,2.49836
10.18707,2.49864
10.18998,2.49893
10.19288,2.49920
10.19579,2.49946
10.19869,2.49970
10.20159,2.49993
10.20450,2.50016
10.20740,2.50041
10.21030,2.50068
10.21321,2.50098
10.21611,2.50134
10.21901,2.50175
10.22192,2.50220
10.22482,2.50268
10.22773,2.50318
10.23063,2.50369
10.23353,2.50420
10.23644,2.50470
10.23934,2.50518
10.24224,2.50566
10.24515,2.50615
10.24805,2.50664
10.25096,2.50714
10.25386,2.50767
10.25676,2.50822
10.25967,2.50880
10.26257,2.50941
10.26547,2.51003
10.26838,2.51067
10.27128,2.51134
10.27418,2.51203
10.27709,2.51274
10.27999,2.51348
10.28290,2.51423
10.28580,2.51501
10.28870,2.51579
10.29161,2.51658
10.29451,2.51736
10.29741,2.51814
10.30032,2.51892
10.30322,2.51971
10.30613,2.52051
10.30903,2.52131
10.31193,2.52212
10.31484,2.52297
10.31774,2.52383
10.32064,2.52471
10.32355,2.52560
10.32645,2.52649
10.32935,2.52738
10.33226,2.52824
10.33516,2.52907
10.33807,2.52988
10.34097,2.53064
10.34387,2.53137
10.34678,2.53207
10.34968,2.53276
10.35258,2.53345
10.35549,2.53416
10.35839,2.53487
10.36129,2.53562
10.36420,2.53640
10.36710,2.53722
10.37001,2.53807
10.37291,2.53893
10.37581,2.53981
10.37872,2.54071
10.38162,2.54162
10.38452,2.54253
10.38743,2.54345
10.39033,2.54440
10.39324,2.54536
10.39614,2.54632
10.39904,2.54728
10.40195,2.54822
10.40485,2.54913
10.40775,2.55001
10.41066,2.55085
10.41356,2.55164
10.41646,2.55241
10.41937,2.55316
10.42227,2.55390
10.42518,2.55463
10.42808,2.55536
10.43098,2.55608
10.43389,2.55681
10.43679,2.55755
10.43969,2.55829
10.44260,2.55903
10.44550,2.55977
10.44841,2.56049
10.45131,2.56121
10.45421,2.56193
10.45712,2.56264
10.46002,2.56335
10.46292,2.56408
10.46583,2.56483
10.46873,2.56561
10.47163,2.56641
10.47454,2.56722
10.47744,2.56801
10.48035,2.56880
10.48325,2.56957
10.48615,2.57033
10.48906,2.57107
10.49196,2.57180
10.49486,2.57255
10.49777,2.57331
10.50067,2.57409
10.50358,2.57486
10.50648,2.57562
10.50938,2.57638
10.51229,2.57713
10.51519,2.57787
10.51809,2.57859
10.52100,2.57932
10.52390,2.58007
10.52680,2.58081
10.52971,2.58155
10.53261,2.58228
10.53552,2.58299
10.53842,2.58368
10.54132,2.58433
10.54423,2.58496
10.54713,2.58557
10.55003,2.58617
10.55294,2.58677
10.55584,2.58736
10.55875,2.58793
10.56165,2.58849
10.56455,2.58901
10.56746,2.58950
10.57036,2.58997
10.57326,2.59041
10.57617,2.59085
10.57907,2.59130
10.58197,2.59179
10.58488,2.59235
10.58778,2.59296
10.59069,2.59363
10.59359,2.59435
10.59649,2.59511
10.59940,2.59589
10.60230,2.59666
10.60520,2.59742
10.60811,2.59817
10.61101,2.59893
10.61391,2.59968
10.61682,2.60043
10.61972,2.60119
10.62263,2.60195
10.62553,2.60272
10.62843,2.60351
10.63134,2.60429
10.63424,2.60505
10.63714,2.60580
10.64005,2.60652
10.64295,2.60722
10.64586,2.60790
10.64876,2.60855
